duration,retry_count,status,error_type,message,label
89.95,0,error,dbt_error,Column type mismatch while casting fields,1
8.56,0,success,none,Transformation step finished,0
37.19,0,error,dbt_error,Unauthorized access to dataset,1
19.67,0,success,none,Loaded table successfully,0
15.61,0,error,dbt_error,Timeout while loading data into warehouse,1
70.89,0,error,dbt_error,Unauthorized access to dataset,1
60.53,0,error,dbt_error,Column type mismatch while casting fields,1
62.75,0,error,dbt_error,Schema drift: missing expected column,1
65.83,0,error,dbt_error,Timeout while loading data into warehouse,1
22.29,0,error,dbt_error,Data quality check failed: null constraint violated,1
74.15,0,error,dbt_error,Timeout while loading data into warehouse,1
42.36,0,error,dbt_error,Permission denied while writing to warehouse,1
18.64,0,success,none,Transformation step finished,0
46.16,0,error,dbt_error,Data quality check failed: null constraint violated,1
73.99,0,error,dbt_error,Column type mismatch while casting fields,1
52.63,0,error,dbt_error,Unauthorized access to dataset,1
34.27,0,error,dbt_error,Column type mismatch while casting fields,1
70.99,0,error,dbt_error,Timed out waiting for query execution,1
12.02,0,success,none,Model completed successfully,0
71.56,0,error,dbt_error,Schema mismatch detected in transformed table,1
69.32,0,error,dbt_error,Quality rule failed: duplicate primary key detected,1
42.43,0,error,dbt_error,Unauthorized access to dataset,1
8.97,0,success,none,Model completed successfully,0
42.64,0,error,dbt_error,No such file or directory during extract,1
43.58,0,error,dbt_error,Unauthorized access to dataset,1
15.12,0,success,none,Loaded table successfully,0
14.29,0,success,none,Transformation step finished,0
31.6,0,error,dbt_error,Permission denied while writing to warehouse,1
76.79,0,error,dbt_error,Quality rule failed: duplicate primary key detected,1
45.62,0,error,dbt_error,Data quality check failed: null constraint violated,1
19.19,0,success,none,Transformation step finished,0
23.71,0,error,dbt_error,Source file not found in staging path,1
25.17,0,error,dbt_error,Unauthorized access to dataset,1
65.29,0,error,dbt_error,Timed out waiting for query execution,1
70.67,0,error,dbt_error,Permission denied while writing to warehouse,1
64.12,0,error,dbt_error,No such file or directory during extract,1
45.61,0,error,dbt_error,Unauthorized access to dataset,1
15.35,0,success,none,Run completed,0
48.35,0,error,dbt_error,Source file not found in staging path,1
22.45,0,error,dbt_error,Timed out waiting for query execution,1
82.63,0,error,dbt_error,Unauthorized access to dataset,1
10.97,0,success,none,Run completed,0
19.24,0,success,none,Loaded table successfully,0
14.94,0,success,none,Model completed successfully,0
16.8,0,success,none,Run completed,0
74.02,0,error,dbt_error,Schema mismatch detected in transformed table,1
17.45,0,success,none,Run completed,0
31.2,0,error,dbt_error,Permission denied while writing to warehouse,1
73.08,0,error,dbt_error,Timeout while loading data into warehouse,1
79.38,0,error,dbt_error,Timeout while loading data into warehouse,1
55.52,0,error,dbt_error,Schema mismatch detected in transformed table,1
14.92,0,success,none,Model completed successfully,0
16.11,0,error,dbt_error,Schema mismatch detected in transformed table,1
39.28,0,error,dbt_error,Permission denied while writing to warehouse,1
18.93,0,error,dbt_error,Timed out waiting for query execution,1
23.52,0,error,dbt_error,Permission denied while writing to warehouse,1
48.62,0,error,dbt_error,No such file or directory during extract,1
59.52,0,error,dbt_error,Unauthorized access to dataset,1
31.62,0,error,dbt_error,Permission denied while writing to warehouse,1
73.74,0,error,dbt_error,Quality rule failed: duplicate primary key detected,1
63.25,0,error,dbt_error,Source file not found in staging path,1
19.98,0,success,none,Loaded table successfully,0
66.46,0,error,dbt_error,No such file or directory during extract,1
83.23,0,error,dbt_error,Data quality check failed: null constraint violated,1
9.83,0,success,none,Run completed,0
6.89,0,success,none,Transformation step finished,0
89.6,0,error,dbt_error,No such file or directory during extract,1
52.92,0,error,dbt_error,No such file or directory during extract,1
16.9,0,success,none,Model completed successfully,0
63.82,0,error,dbt_error,Data quality check failed: null constraint violated,1
48.87,0,error,dbt_error,Source file not found in staging path,1
40.42,0,error,dbt_error,No such file or directory during extract,1
46.2,0,error,dbt_error,Source file not found in staging path,1
47.01,0,error,dbt_error,Timed out waiting for query execution,1
86.52,0,error,dbt_error,Timed out waiting for query execution,1
6.37,0,success,none,Model completed successfully,0
11.48,0,success,none,Transformation step finished,0
56.73,0,error,dbt_error,Schema drift: missing expected column,1
57.13,0,error,dbt_error,Permission denied while writing to warehouse,1
41.52,0,error,dbt_error,No such file or directory during extract,1
18.86,0,error,dbt_error,Quality rule failed: duplicate primary key detected,1
38.43,0,error,dbt_error,Permission denied while writing to warehouse,1
53.06,0,error,dbt_error,Permission denied while writing to warehouse,1
51.16,0,error,dbt_error,Data quality check failed: null constraint violated,1
78.4,0,error,dbt_error,Timed out waiting for query execution,1
16.44,0,success,none,Run completed,0
78.39,0,error,dbt_error,Source file not found in staging path,1
84.68,0,error,dbt_error,Unauthorized access to dataset,1
7.71,0,success,none,Transformation step finished,0
41.33,0,error,dbt_error,Timeout while loading data into warehouse,1
57.47,0,error,dbt_error,Column type mismatch while casting fields,1
7.13,0,success,none,Model completed successfully,0
16.19,0,success,none,Run completed,0
46.49,0,error,dbt_error,No such file or directory during extract,1
42.75,0,error,dbt_error,Schema drift: missing expected column,1
73.26,0,error,dbt_error,Timeout while loading data into warehouse,1
7.33,0,success,none,Model completed successfully,0
21.12,0,error,dbt_error,Quality rule failed: duplicate primary key detected,1
46.8,0,error,dbt_error,Quality rule failed: duplicate primary key detected,1
35.49,0,error,dbt_error,Source file not found in staging path,1
47.24,0,error,dbt_error,Timed out waiting for query execution,1
65.89,0,error,dbt_error,Quality rule failed: duplicate primary key detected,1
65.03,0,error,dbt_error,Permission denied while writing to warehouse,1
44.64,0,error,dbt_error,Schema drift: missing expected column,1
5.12,0,success,none,Transformation step finished,0
72.55,0,error,dbt_error,Column type mismatch while casting fields,1
39.61,0,error,dbt_error,Timeout while loading data into warehouse,1
71.03,0,error,dbt_error,Source file not found in staging path,1
43.52,0,error,dbt_error,Schema drift: missing expected column,1
52.52,0,error,dbt_error,Schema drift: missing expected column,1
20.41,0,error,dbt_error,Timeout while loading data into warehouse,1
16.41,0,error,dbt_error,Source file not found in staging path,1
58.18,0,error,dbt_error,Timed out waiting for query execution,1
63.01,0,error,dbt_error,Quality rule failed: duplicate primary key detected,1
11.08,0,success,none,Transformation step finished,0
75.1,0,error,dbt_error,Schema drift: missing expected column,1
77.4,0,error,dbt_error,No such file or directory during extract,1
11.55,0,success,none,Model completed successfully,0
47.68,0,error,dbt_error,Column type mismatch while casting fields,1
20.9,0,error,dbt_error,Unauthorized access to dataset,1
40.46,0,error,dbt_error,Quality rule failed: duplicate primary key detected,1
